name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
Web3 Sandbox,"Find an accidentally deployed code sandbox for writing smart contracts on the fly. (Difficulty Level: 1)",Broken Access Control,100,standard,visible,0,6e5badeeb63e5d3f6d2652db067187b5c0967cfa,"Web3","It is just as easy as finding the Score Board.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_find_an_accidentally_deployed_code_sandbox,<pre><code>const routes: Routes = [
  {
    path: 'administration'٬
    component: AdministrationComponent٬
    canActivate: [AdminGuard]
  }٬
  {
    path: 'accounting'٬
    component: AccountingComponent٬
    canActivate: [AccountingGuard]
  }٬
  {
    path: 'about'٬
    component: AboutComponent
  }٬
  {
    path: 'address/select'٬
    component: AddressSelectComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'address/saved'٬
    component: SavedAddressComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'address/create'٬
    component: AddressCreateComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'address/edit/:addressId'٬
    component: AddressCreateComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'delivery-method'٬
    component: DeliveryMethodComponent
  }٬
  {
    path: 'deluxe-membership'٬
    component: DeluxeUserComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'saved-payment-methods'٬
    component: SavedPaymentMethodsComponent
  }٬
  {
    path: 'basket'٬
    component: BasketComponent
  }٬
  {
    path: 'order-completion/:id'٬
    component: OrderCompletionComponent
  }٬
  {
    path: 'contact'٬
    component: ContactComponent
  }٬
  {
    path: 'photo-wall'٬
    component: PhotoWallComponent
  }٬
  {
    path: 'complain'٬
    component: ComplaintComponent
  }٬
  {
    path: 'chatbot'٬
    component: ChatbotComponent
  }٬
  {
    path: 'order-summary'٬
    component: OrderSummaryComponent
  }٬
  {
    path: 'order-history'٬
    component: OrderHistoryComponent
  }٬
  {
    path: 'payment/:entity'٬
    component: PaymentComponent
  }٬
  {
    path: 'wallet'٬
    component: WalletComponent
  }٬
  {
    path: 'login'٬
    component: LoginComponent
  }٬
  {
    path: 'forgot-password'٬
    component: ForgotPasswordComponent
  }٬
  {
    path: 'recycle'٬
    component: RecycleComponent
  }٬
  {
    path: 'register'٬
    component: RegisterComponent
  }٬
  {
    path: 'search'٬
    component: SearchResultComponent
  }٬
  {
    path: 'hacking-instructor'٬
    component: SearchResultComponent
  }٬
  {
    path: 'score-board'٬
    component: ScoreBoardComponent
  }٬
  {
    path: 'track-result'٬
    component: TrackResultComponent
  }٬
  {
    path: 'track-result/new'٬
    component: TrackResultComponent٬
    data: {
      type: 'new'
    }
  }٬
  {
    path: '2fa/enter'٬
    component: TwoFactorAuthEnterComponent
  }٬
  {
    path: 'privacy-security'٬
    component: PrivacySecurityComponent٬
    children: [
      {
        path: 'privacy-policy'٬
        component: PrivacyPolicyComponent
      }٬
      {
        path: 'change-password'٬
        component: ChangePasswordComponent
      }٬
      {
        path: 'two-factor-authentication'٬
        component: TwoFactorAuthComponent
      }٬
      {
        path: 'data-export'٬
        component: DataExportComponent
      }٬
      {
        path: 'last-login-ip'٬
        component: LastLoginIpComponent
      }
    ]
  }٬
  {
    path: 'juicy-nft'٬
    component: NFTUnlockComponent
  }٬
  {
    path: 'wallet-web3'٬
    loadChildren: async () => await loadWeb3WalletModule()
  }٬
  {
    path: 'web3-sandbox'٬
    loadChildren: async () => await loadWeb3SandboxtModule()
  }٬
  {
    path: 'bee-haven'٬
    loadChildren: async () => await loadFaucetModule()
  }٬
   {
    matcher: oauthMatcher٬
    data: { params: (window.location.href).substr(window.location.href.indexOf('#')) }٬
    component: OAuthComponent
  }٬
  {
    matcher: tokenMatcher٬
    component: TokenSaleComponent
  }٬
  {
    path: '403'٬
    component: ErrorPageComponent
  }٬
  {
    path: '**'٬
    component: SearchResultComponent
  }
]</code></pre>",
Blocked RCE DoS,"Perform a Remote Code Execution that would keep a less hardened application busy <em>forever</em>. <em>(This challenge is <strong>not available</strong> on Heroku!)</em> (Difficulty Level: 5)",Insecure Deserialization,1000,standard,visible,0,f794e88774087c775e300beda3c0b4cd797c269b,"Danger Zone","The feature you need to exploit for this challenge is not directly advertised anywhere.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/insecure-deserialization.html#_perform_a_remote_code_execution_that_would_keep_a_less_hardened_application_busy_forever",
CAPTCHA Bypass,"Submit 10 or more customer feedbacks within 20 seconds. (Difficulty Level: 3)",Broken Anti Automation,450,standard,visible,0,0444f13ce4a5580cf6a6219ea19e2c89b7cd1d1f,"Brute Force","After finding a CAPTCHA bypass٬ write a script that automates feedback submission. Or open many browser tabs and be really quick.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-anti-automation.html#_submit_10_or_more_customer_feedbacks_within_20_seconds",
Change Bender's Password,"Change Bender's password into <i>slurmCl4ssic</i> without using SQL Injection or Forgot Password. (Difficulty Level: 5)",Broken Authentication,1000,standard,visible,0,cec8dcc2d125c262c9434637ce7d4e834cf0a0d8,,"In previous releases this challenge was wrongly accused of being based on CSRF.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-authentication.html#_change_benders_password_into_slurmcl4ssic_without_using_sql_injection_or_forgot_password",
Christmas Special,"Order the Christmas special offer of 2014. (Difficulty Level: 4)",Injection,700,standard,visible,0,929646db81fdde9492b64f2d3c5fa0a3da182ad7,,"Find out how the application handles unavailable products and try to find a loophole.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_order_the_christmas_special_offer_of_2014",
CSP Bypass,"Bypass the Content Security Policy and perform an XSS attack with <code>&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> on a legacy page within the application. <em>(This challenge is <strong>not available</strong> on Heroku!)</em> (Difficulty Level: 4)",XSS,700,standard,visible,0,64dec3daf0a02d4697c5fec917b8ad25862d4181,"Danger Zone","What is even ""better"" than a legacy page with a homegrown RegEx sanitizer? Having CSP injection issues on the exact same page as well!,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_bypass_the_content_security_policy_and_perform_an_xss_attack_on_a_legacy_page",
Client-side XSS Protection,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>client-side</i> security mechanism. <em>(This challenge is <strong>not available</strong> on Heroku!)</em> (Difficulty Level: 3)",XSS,450,standard,visible,0,237fc9b7b8c04174abe71483de6eb53c04fe9e90,"Danger Zone","Only some input fields validate their input. Even less of these are persisted in a way where their content is shown on another screen.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_perform_a_persisted_xss_attack_bypassing_a_client_side_security_mechanism",
Confidential Document,"Access a confidential document. (Difficulty Level: 1)",Sensitive Data Exposure,100,standard,visible,0,8d2072c6b0a455608ca1a293dc0c9579883fc6a5,"Good for Demos","Analyze and tamper with links in the application that deliver a file directly.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/sensitive-data-exposure.html#_access_a_confidential_document,<pre><code>/* /ftp directory browsing and file download */
  app.use('/ftp'٬ serveIndexMiddleware٬ serveIndex('ftp'٬ { icons: true }))
  app.use('/ftp(?!/quarantine)/:file'٬ fileServer())
  app.use('/ftp/quarantine/:file'٬ quarantineServer())

  /* /encryptionkeys directory browsing */
  app.use('/encryptionkeys'٬ serveIndexMiddleware٬ serveIndex('encryptionkeys'٬ { icons: true٬ view: 'details' }))
  app.use('/encryptionkeys/:file'٬ keyServer())

  /* /logs directory browsing */
  app.use('/support/logs'٬ serveIndexMiddleware٬ serveIndex('logs'٬ { icons: true٬ view: 'details' }))
  app.use('/support/logs/:file'٬ logFileServer())

  /* Swagger documentation for B2B v2 endpoints */
  app.use('/api-docs'٬ swaggerUi.serve٬ swaggerUi.setup(swaggerDocument))

  app.use(express.static(path.resolve('frontend/dist/frontend')))
  app.use(cookieParser('kekse'))</code></pre>",
DOM XSS,"Perform a <i>DOM</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>. (Difficulty Level: 1)",XSS,100,standard,visible,0,4a31a4fe0954199566e360a873802bf64d0d0a84,"Tutorial,Good for Demos","Look for an input field where its content appears in the HTML when its form is submitted.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/xss.html#_perform_a_dom_xss_attack,<pre><code>filterTable () {
    let queryParam: string = this.route.snapshot.queryParams.q
    if (queryParam) {
      queryParam = queryParam.trim()
      this.dataSource.filter = queryParam.toLowerCase()
      this.searchValue = this.sanitizer.bypassSecurityTrustHtml(queryParam)
      this.gridDataSource.subscribe((result: any) => {
        if (result.length === 0) {
          this.emptyState = true
        } else {
          this.emptyState = false
        }
      })
    } else {
      this.dataSource.filter = ''
      this.searchValue = undefined
      this.emptyState = false
    }
  }</code></pre>",
Database Schema,"Exfiltrate the entire DB schema definition via SQL Injection. (Difficulty Level: 3)",Injection,450,standard,visible,0,1131456a55e84fbe58f6db03c9895921c1db5b3e,,"Find out where this information could come from. Then craft a UNION SELECT attack string against an endpoint that offers an unnecessary way to filter data.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/injection.html#_exfiltrate_the_entire_db_schema_definition_via_sql_injection,<pre><code>module.exports = function searchProducts () {
  return (req: Request٬ res: Response٬ next: NextFunction) => {
    let criteria: any = req.query.q === 'undefined' ? '' : req.query.q ?? ''
    criteria = (criteria.length <= 200) ? criteria : criteria.substring(0٬ 200)
    models.sequelize.query(`SELECT * FROM Products WHERE ((name LIKE '%${criteria}%' OR description LIKE '%${criteria}%') AND deletedAt IS NULL) ORDER BY name`)
      .then(([products]: any) => {
        const dataString = JSON.stringify(products)
        for (let i = 0; i < products.length; i++) {
          products[i].name = req.__(products[i].name)
          products[i].description = req.__(products[i].description)
        }
        res.json(utils.queryResultToJson(products))
      }).catch((error: ErrorWithParent) => {
        next(error.parent)
      })
  }
}</code></pre>",
Deprecated Interface,"Use a deprecated B2B interface that was not properly shut down. (Difficulty Level: 2)",Security Misconfiguration,250,standard,visible,0,5fd213c8fc772846b262c307eaaa901340a195bb,"Contraption,Prerequisite","The developers who disabled the interface think they could go invisible by just closing their eyes.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/security-misconfiguration.html#_use_a_deprecated_b2b_interface_that_was_not_properly_shut_down",
Easter Egg,"Find the hidden <a href=""https://en.wikipedia.org/wiki/Easter_egg_(media)"" target=""_blank"">easter egg</a>. (Difficulty Level: 4)",Broken Access Control,700,standard,visible,0,87af1696e5207d68cd40df414a1805fbdc233024,"Shenanigans,Contraption,Good for Demos","If you solved one of the three file access challenges٬ you already know where to find the easter egg.,https://pwning.owasp-juice.shop/companion-guide/latest/part2/broken-access-control.html#_find_the_hidden_easter_egg",
