name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
Web3 Sandbox,"Find an accidentally deployed code sandbox for writing smart contracts on the fly. (Difficulty Level: 1)",Broken Access Control,100,standard,visible,0,6e5badeeb63e5d3f6d2652db067187b5c0967cfa,"Web3","<pre><code>const routes: Routes = [
  {
    path: 'administration'٬
    component: AdministrationComponent٬
    canActivate: [AdminGuard]
  }٬
  {
    path: 'accounting'٬
    component: AccountingComponent٬
    canActivate: [AccountingGuard]
  }٬
  {
    path: 'about'٬
    component: AboutComponent
  }٬
  {
    path: 'address/select'٬
    component: AddressSelectComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'address/saved'٬
    component: SavedAddressComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'address/create'٬
    component: AddressCreateComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'address/edit/:addressId'٬
    component: AddressCreateComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'delivery-method'٬
    component: DeliveryMethodComponent
  }٬
  {
    path: 'deluxe-membership'٬
    component: DeluxeUserComponent٬
    canActivate: [LoginGuard]
  }٬
  {
    path: 'saved-payment-methods'٬
    component: SavedPaymentMethodsComponent
  }٬
  {
    path: 'basket'٬
    component: BasketComponent
  }٬
  {
    path: 'order-completion/:id'٬
    component: OrderCompletionComponent
  }٬
  {
    path: 'contact'٬
    component: ContactComponent
  }٬
  {
    path: 'photo-wall'٬
    component: PhotoWallComponent
  }٬
  {
    path: 'complain'٬
    component: ComplaintComponent
  }٬
  {
    path: 'chatbot'٬
    component: ChatbotComponent
  }٬
  {
    path: 'order-summary'٬
    component: OrderSummaryComponent
  }٬
  {
    path: 'order-history'٬
    component: OrderHistoryComponent
  }٬
  {
    path: 'payment/:entity'٬
    component: PaymentComponent
  }٬
  {
    path: 'wallet'٬
    component: WalletComponent
  }٬
  {
    path: 'login'٬
    component: LoginComponent
  }٬
  {
    path: 'forgot-password'٬
    component: ForgotPasswordComponent
  }٬
  {
    path: 'recycle'٬
    component: RecycleComponent
  }٬
  {
    path: 'register'٬
    component: RegisterComponent
  }٬
  {
    path: 'search'٬
    component: SearchResultComponent
  }٬
  {
    path: 'hacking-instructor'٬
    component: SearchResultComponent
  }٬
  {
    path: 'score-board'٬
    component: ScoreBoardComponent
  }٬
  {
    path: 'track-result'٬
    component: TrackResultComponent
  }٬
  {
    path: 'track-result/new'٬
    component: TrackResultComponent٬
    data: {
      type: 'new'
    }
  }٬
  {
    path: '2fa/enter'٬
    component: TwoFactorAuthEnterComponent
  }٬
  {
    path: 'privacy-security'٬
    component: PrivacySecurityComponent٬
    children: [
      {
        path: 'privacy-policy'٬
        component: PrivacyPolicyComponent
      }٬
      {
        path: 'change-password'٬
        component: ChangePasswordComponent
      }٬
      {
        path: 'two-factor-authentication'٬
        component: TwoFactorAuthComponent
      }٬
      {
        path: 'data-export'٬
        component: DataExportComponent
      }٬
      {
        path: 'last-login-ip'٬
        component: LastLoginIpComponent
      }
    ]
  }٬
  {
    path: 'juicy-nft'٬
    component: NFTUnlockComponent
  }٬
  {
    path: 'wallet-web3'٬
    loadChildren: async () => await loadWeb3WalletModule()
  }٬
  {
    path: 'web3-sandbox'٬
    loadChildren: async () => await loadWeb3SandboxtModule()
  }٬
  {
    path: 'bee-haven'٬
    loadChildren: async () => await loadFaucetModule()
  }٬
   {
    matcher: oauthMatcher٬
    data: { params: (window.location.href).substr(window.location.href.indexOf('#')) }٬
    component: OAuthComponent
  }٬
  {
    matcher: tokenMatcher٬
    component: TokenSaleComponent
  }٬
  {
    path: '403'٬
    component: ErrorPageComponent
  }٬
  {
    path: '**'٬
    component: SearchResultComponent
  }
]</code></pre>",
Blocked RCE DoS,"Perform a Remote Code Execution that would keep a less hardened application busy <em>forever</em>. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em> (Difficulty Level: 5)",Insecure Deserialization,1000,standard,visible,0,f794e88774087c775e300beda3c0b4cd797c269b,"Danger Zone",,
CAPTCHA Bypass,"Submit 10 or more customer feedbacks within 20 seconds. (Difficulty Level: 3)",Broken Anti Automation,450,standard,visible,0,0444f13ce4a5580cf6a6219ea19e2c89b7cd1d1f,"Brute Force",,
Change Bender's Password,"Change Bender's password into <i>slurmCl4ssic</i> without using SQL Injection or Forgot Password. (Difficulty Level: 5)",Broken Authentication,1000,standard,visible,0,cec8dcc2d125c262c9434637ce7d4e834cf0a0d8,,,
Christmas Special,"Order the Christmas special offer of 2014. (Difficulty Level: 4)",Injection,700,standard,visible,0,929646db81fdde9492b64f2d3c5fa0a3da182ad7,,,
CSP Bypass,"Bypass the Content Security Policy and perform an XSS attack with <code>&lt;script&gt;alert(`xss`)&lt;/script&gt;</code> on a legacy page within the application. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em> (Difficulty Level: 4)",XSS,700,standard,visible,0,64dec3daf0a02d4697c5fec917b8ad25862d4181,"Danger Zone",,
Client-side XSS Protection,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> bypassing a <i>client-side</i> security mechanism. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em> (Difficulty Level: 3)",XSS,450,standard,visible,0,237fc9b7b8c04174abe71483de6eb53c04fe9e90,"Danger Zone",,
Confidential Document,"Access a confidential document. (Difficulty Level: 1)",Sensitive Data Exposure,100,standard,visible,0,8d2072c6b0a455608ca1a293dc0c9579883fc6a5,"Good for Demos","<pre><code>/* /ftp directory browsing and file download */
  app.use('/ftp'٬ serveIndexMiddleware٬ serveIndex('ftp'٬ { icons: true }))
  app.use('/ftp(?!/quarantine)/:file'٬ fileServer())
  app.use('/ftp/quarantine/:file'٬ quarantineServer())

  /* /encryptionkeys directory browsing */
  app.use('/encryptionkeys'٬ serveIndexMiddleware٬ serveIndex('encryptionkeys'٬ { icons: true٬ view: 'details' }))
  app.use('/encryptionkeys/:file'٬ keyServer())

  /* /logs directory browsing */
  app.use('/support/logs'٬ serveIndexMiddleware٬ serveIndex('logs'٬ { icons: true٬ view: 'details' }))
  app.use('/support/logs/:file'٬ logFileServer())

  /* Swagger documentation for B2B v2 endpoints */
  app.use('/api-docs'٬ swaggerUi.serve٬ swaggerUi.setup(swaggerDocument))

  app.use(express.static(path.resolve('frontend/dist/frontend')))
  app.use(cookieParser('kekse'))</code></pre>",
DOM XSS,"Perform a <i>DOM</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code>. (Difficulty Level: 1)",XSS,100,standard,visible,0,4a31a4fe0954199566e360a873802bf64d0d0a84,"Tutorial,Good for Demos","<pre><code>filterTable () {
    let queryParam: string = this.route.snapshot.queryParams.q
    if (queryParam) {
      queryParam = queryParam.trim()
      this.dataSource.filter = queryParam.toLowerCase()
      this.searchValue = this.sanitizer.bypassSecurityTrustHtml(queryParam)
      this.gridDataSource.subscribe((result: any) => {
        if (result.length === 0) {
          this.emptyState = true
        } else {
          this.emptyState = false
        }
      })
    } else {
      this.dataSource.filter = ''
      this.searchValue = undefined
      this.emptyState = false
    }
  }</code></pre>",
Database Schema,"Exfiltrate the entire DB schema definition via SQL Injection. (Difficulty Level: 3)",Injection,450,standard,visible,0,1131456a55e84fbe58f6db03c9895921c1db5b3e,,"<pre><code>module.exports = function searchProducts () {
  return (req: Request٬ res: Response٬ next: NextFunction) => {
    let criteria: any = req.query.q === 'undefined' ? '' : req.query.q ?? ''
    criteria = (criteria.length <= 200) ? criteria : criteria.substring(0٬ 200)
    models.sequelize.query(`SELECT * FROM Products WHERE ((name LIKE '%${criteria}%' OR description LIKE '%${criteria}%') AND deletedAt IS NULL) ORDER BY name`)
      .then(([products]: any) => {
        const dataString = JSON.stringify(products)
        for (let i = 0; i < products.length; i++) {
          products[i].name = req.__(products[i].name)
          products[i].description = req.__(products[i].description)
        }
        res.json(utils.queryResultToJson(products))
      }).catch((error: ErrorWithParent) => {
        next(error.parent)
      })
  }
}</code></pre>",
Deprecated Interface,"Use a deprecated B2B interface that was not properly shut down. (Difficulty Level: 2)",Security Misconfiguration,250,standard,visible,0,5fd213c8fc772846b262c307eaaa901340a195bb,"Contraption,Prerequisite",,
Easter Egg,"Find the hidden <a href=""https://en.wikipedia.org/wiki/Easter_egg_(media)"" target=""_blank"">easter egg</a>. (Difficulty Level: 4)",Broken Access Control,700,standard,visible,0,87af1696e5207d68cd40df414a1805fbdc233024,"Shenanigans,Contraption,Good for Demos",,
Email Leak,"Perform an unwanted information disclosure by accessing data cross-domain. (Difficulty Level: 5)",Sensitive Data Exposure,1000,standard,visible,0,dc09eb2b8517008ab65730f7355443a7f4bc8326,,,
Empty User Registration,"Register a user with an empty email and password. (Difficulty Level: 2)",Improper Input Validation,250,standard,visible,0,e58f8a9612c60985360e904b027535262c52f9dc,,,
Ephemeral Accountant,"Log in with the (non-existing) accountant <i>acc0unt4nt@juice-sh.op</i> without ever registering that user. (Difficulty Level: 4)",Injection,700,standard,visible,0,9b65e390a97a9a39d0d597ab89a77179b0a7cac4,,,
Error Handling,"Provoke an error that is neither very gracefully nor consistently handled. (Difficulty Level: 1)",Security Misconfiguration,100,standard,visible,0,9c297196ecf8890bc1e900fcf3aebae8c9f9880a,"Prerequisite",,
Expired Coupon,"Successfully redeem an expired campaign coupon code. (Difficulty Level: 4)",Improper Input Validation,700,standard,visible,0,12703f16a02e150ef92de329ce57539e53c6aac7,,,
Extra Language,"Retrieve the language file that never made it into production. (Difficulty Level: 5)",Broken Anti Automation,1000,standard,visible,0,9bb1be0fc245910b356fdac4e78e315d58d810af,"Brute Force",,
Five-Star Feedback,"Get rid of all 5-star customer feedback. (Difficulty Level: 2)",Broken Access Control,250,standard,visible,0,78231b75c0b2180b7e964dcbb1ab3c3f58639f2e,,,
Forged Coupon,"Forge a coupon code that gives you a discount of at least 80%. (Difficulty Level: 6)",Cryptographic Issues,1350,standard,visible,0,10e04eb4104bd61f5fafc77c844d4d70b3f33f08,"Good for Demos,Code Analysis",,
Forged Feedback,"Post some feedback in another user's name. (Difficulty Level: 3)",Broken Access Control,450,standard,visible,0,b3245d86c5b5a6e10a1319aebced515c1763b754,"Tutorial",,
Forged Review,"Post a product review as another user or edit any user's existing review. (Difficulty Level: 3)",Broken Access Control,450,standard,visible,0,2d542917ab9cd27314b53b9c85f956af461a550d,,"<pre><code>module.exports = function productReviews () {
  return (req: Request٬ res: Response٬ next: NextFunction) => {
    const user = security.authenticatedUsers.from(req)
    db.reviews.update(
      { _id: req.body.id }٬
      { $set: { message: req.body.message } }٬
      { multi: true }
    ).then(
      (result: { modified: number٬ original: Array<{ author: any }> }) => {
        res.json(result)
      }٬ (err: unknown) => {
        res.status(500).json(err)
      })
  }
}</code></pre>",
Forged Signed JWT,"Forge an almost properly RSA-signed JWT token that impersonates the (non-existing) user <i>rsa_lord@juice-sh.op</i>. (Difficulty Level: 6)",Vulnerable Components,1350,standard,visible,0,b333748beae429d9459da79ef6b1c4ba492f69e9,,,
Forgotten Developer Backup,"Access a developer's forgotten backup file. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,dad737329153068527159005db4eb139e86e76ba,"Contraption,Good for Demos,Prerequisite",,
Forgotten Sales Backup,"Access a salesman's forgotten backup file. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,9854fa972c745fa0e8a55f0687528b1f483856b1,"Contraption",,
Frontend Typosquatting,"<a href=""/#/contact"">Inform the shop</a> about a <i>typosquatting</i> imposter that dug itself deep into the frontend. (Mention the exact name of the culprit) (Difficulty Level: 5)",Vulnerable Components,1000,standard,visible,0,5d88f4080ce3baa81f32621d3a3440c8c718a302,,,
GDPR Data Erasure,"Log in with Chris' erased user account. (Difficulty Level: 3)",Broken Authentication,450,standard,visible,0,22ed55ea33b596ba50c67235264769e28d5272b3,,,
GDPR Data Theft,"Steal someone else's personal data without using Injection. (Difficulty Level: 4)",Sensitive Data Exposure,700,standard,visible,0,4e606bcbc4a3ddb154a1e296cba3dca34889a5be,,,
HTTP-Header XSS,"Perform a <i>persisted</i> XSS attack with <code>&lt;iframe src=""javascript:alert(`xss`)""&gt;</code> through an HTTP header. <em>(This challenge is <strong>potentially harmful</strong> on Docker!)</em> (Difficulty Level: 4)",XSS,700,standard,visible,0,c37da14686b69a220fd9febd09bb9593e7d0539f,"Danger Zone",,
